timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-23 08:00:00-04:00,3.21,,
2026-04-24 08:00:00-04:00,2.49,2.65,6.28
2026-01-29 08:00:00-05:00,2.76,3.22,16.51
2025-10-23 16:00:00-04:00,3.2,3.3,3.04
2025-07-29 08:00:00-04:00,3.31,3.29,-0.48
2025-04-23 08:00:00-04:00,2.68,2.69,0.53
2025-01-29 08:00:00-05:00,2.94,3.04,3.31
2024-10-22 08:00:00-04:00,3.11,3.25,4.53
2024-07-25 16:00:00-04:00,2.86,3.06,6.97
2024-04-24 08:00:00-04:00,2.53,3.29,29.79
2024-01-26 08:00:00-05:00,2.87,2.83,-1.36
2023-10-25 08:00:00-04:00,2.7,2.65,-1.74
2023-07-27 08:00:00-04:00,3.11,2.95,-5.2
2023-04-26 08:00:00-04:00,3.15,3.32,5.55
2023-01-25 08:00:00-05:00,3.44,3.42,-0.67
2022-10-26 08:00:00-04:00,3.6,3.75,4.18
2022-07-27 08:00:00-04:00,3.47,3.45,-0.52
2022-04-27 08:00:00-04:00,2.92,2.93,0.38
2022-01-26 08:00:00-05:00,3.04,3.12,2.58
2021-10-27 08:00:00-04:00,2.92,3.06,4.95
2021-07-28 08:00:00-04:00,2.97,3.28,10.34
2021-04-28 08:00:00-04:00,2.54,2.66,4.64
2021-01-27 08:00:00-05:00,2.48,2.64,6.55
2020-10-28 08:00:00-04:00,2.37,2.51,5.87
2020-07-29 08:00:00-04:00,1.36,1.53,12.31
