timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-05 08:00:00-04:00,6.71,,
2026-04-29 07:00:00-04:00,-0.39,0.49,225.68
2026-02-04 07:00:00-05:00,2.15,2.47,14.7
2025-10-29 07:00:00-04:00,2.16,2.52,16.81
2025-07-25 07:00:00-04:00,1.71,2.38,38.89
2025-04-25 07:00:00-04:00,-0.72,-0.9,-25.57
2025-01-31 07:00:00-05:00,-0.22,-0.15,32.18
2024-10-29 07:00:00-04:00,1.66,2.04,22.54
2024-07-30 07:00:00-04:00,1.98,2.31,16.61
2024-04-26 07:00:00-04:00,2.25,1.9,-15.73
2024-01-31 07:00:00-05:00,2.38,3.09,29.58
2023-10-27 09:00:00-04:00,4.73,4.63,-2.06
2023-08-02 07:00:00-04:00,3.56,3.87,8.57
2023-05-03 07:00:00-04:00,3.56,4.21,18.32
2023-01-31 07:00:00-05:00,4.35,4.0,-8.1
2022-11-01 07:00:00-04:00,5.04,6.46,28.26
2022-07-29 07:00:00-04:00,5.85,6.77,15.66
2022-04-29 07:00:00-04:00,1.21,1.32,8.66
2022-01-28 07:00:00-05:00,1.93,2.94,52.2
2021-10-29 07:00:00-04:00,1.92,3.18,65.43
2021-08-03 07:00:00-04:00,0.6,0.74,23.49
2021-04-30 07:00:00-04:00,-1.4,-1.16,17.34
2021-01-29 07:00:00-05:00,-1.0,-1.16,-15.95
2020-10-30 07:00:00-04:00,-0.75,-0.01,98.67
2020-07-31 07:00:00-04:00,-0.84,-0.74,11.73
