timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-14 08:00:00-04:00,2.68,,
2026-04-14 08:00:00-04:00,2.6,3.06,17.91
2026-01-14 08:00:00-05:00,1.62,1.24,-23.43
2025-10-14 08:00:00-04:00,1.93,2.26,17.44
2025-07-15 08:00:00-04:00,1.59,2.04,28.26
2025-04-15 08:00:00-04:00,1.85,1.96,5.93
2025-01-15 08:00:00-05:00,1.24,1.35,8.7
2024-10-15 08:00:00-04:00,1.32,1.52,15.76
2024-07-12 08:00:00-04:00,1.39,1.56,11.58
2024-04-12 10:00:00-04:00,1.27,1.79,41.0
2024-01-12 10:00:00-05:00,0.69,0.84,21.41
2023-10-12 20:00:00-04:00,1.22,1.52,24.2
2023-07-14 09:00:00-04:00,1.38,1.37,-0.91
2023-04-14 09:00:00-04:00,1.7,1.86,9.3
2023-01-13 08:00:00-05:00,1.21,1.16,-3.9
2022-10-14 08:00:00-04:00,1.43,1.63,14.28
2022-07-15 08:00:00-04:00,1.67,2.3,37.48
2022-04-14 08:00:00-04:00,1.41,2.02,43.5
2022-01-14 08:00:00-05:00,1.63,1.46,-10.3
2021-10-14 09:00:00-04:00,1.79,2.15,20.43
2021-07-14 08:00:00-04:00,1.89,2.84,50.2
2021-04-15 08:00:00-04:00,2.53,3.62,43.03
2021-01-15 07:00:00-05:00,1.31,2.07,58.04
2020-10-13 08:00:00-04:00,0.87,1.4,60.38
2020-07-14 09:00:00-04:00,0.32,0.51,58.07
