timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 08:00:00-04:00,2.6,,
2026-04-29 06:00:00-04:00,3.3,3.37,2.26
2026-01-28 06:00:00-05:00,2.57,2.62,2.0
2025-10-29 06:00:00-04:00,2.44,2.49,1.94
2025-07-30 06:00:00-04:00,2.23,2.26,1.5
2025-04-30 06:00:00-04:00,2.97,3.06,2.93
2025-01-29 06:00:00-05:00,2.3,2.35,2.38
2024-10-30 06:00:00-04:00,2.21,2.33,5.32
2024-07-31 06:00:00-04:00,2.06,2.09,1.38
2024-05-01 06:00:00-04:00,2.78,2.88,3.45
2024-01-31 06:00:00-05:00,2.1,2.13,1.35
2023-10-25 06:00:00-04:00,2.02,2.08,2.8
2023-07-26 06:00:00-04:00,1.83,1.89,3.16
2023-04-26 06:00:00-04:00,2.45,2.52,2.73
2023-01-25 06:00:00-05:00,1.94,1.96,1.15
2022-10-26 06:00:00-04:00,1.79,1.86,3.91
2022-07-27 06:00:00-04:00,1.47,1.5,2.38
2022-04-27 06:00:00-04:00,2.08,2.21,6.38
2022-01-26 06:00:00-05:00,1.63,1.65,1.25
2021-10-27 06:00:00-04:00,1.49,1.65,10.98
2021-07-28 06:00:00-04:00,1.14,1.2,5.37
2021-04-28 06:00:00-04:00,1.78,1.89,5.94
2021-01-27 07:00:00-05:00,1.29,1.52,18.15
2020-10-28 07:00:00-04:00,0.98,1.41,44.43
2020-07-29 08:00:00-04:00,0.96,1.14,18.21
