timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-28 08:00:00-04:00,0.93,,
2026-04-28 07:00:00-04:00,0.81,0.86,5.88
2026-02-10 06:00:00-05:00,0.56,0.58,2.69
2025-10-21 06:00:00-04:00,0.78,0.82,5.32
2025-07-22 07:00:00-04:00,0.84,0.87,3.93
2025-04-29 06:00:00-04:00,0.72,0.73,1.95
2025-02-11 06:00:00-05:00,0.52,0.55,6.38
2024-10-23 06:00:00-04:00,0.75,0.77,3.18
2024-07-23 06:00:00-04:00,0.81,0.84,4.26
2024-04-30 06:00:00-04:00,0.7,0.72,3.4
2024-02-13 06:00:00-05:00,0.49,0.49,0.33
2023-10-24 06:00:00-04:00,0.69,0.74,6.49
2023-07-26 06:00:00-04:00,0.72,0.78,8.14
2023-04-24 06:00:00-04:00,0.65,0.68,5.4
2023-02-14 06:00:00-05:00,0.45,0.45,0.18
2022-10-25 06:00:00-04:00,0.64,0.69,8.32
2022-07-26 07:00:00-04:00,0.67,0.7,4.69
2022-04-25 06:00:00-04:00,0.58,0.64,10.44
2022-02-10 06:00:00-05:00,0.41,0.45,9.35
2021-10-27 06:00:00-04:00,0.58,0.65,12.2
2021-07-21 07:00:00-04:00,0.56,0.68,20.51
2021-04-19 07:00:00-04:00,0.5,0.55,9.06
2021-02-10 06:00:00-05:00,0.42,0.47,12.45
2020-10-22 06:00:00-04:00,0.46,0.55,18.92
2020-07-21 06:00:00-04:00,0.41,0.42,2.37
