timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-28 08:00:00-04:00,4.95,,
2026-04-28 07:00:00-04:00,4.82,4.97,3.18
2026-02-10 07:00:00-05:00,4.34,4.3,-0.83
2025-10-30 07:00:00-04:00,4.41,4.73,7.28
2025-07-31 07:00:00-04:00,4.22,4.43,4.88
2025-04-29 07:00:00-04:00,4.21,4.37,3.9
2025-02-11 07:00:00-05:00,3.47,3.77,8.58
2024-10-24 07:00:00-04:00,3.64,3.89,6.76
2024-07-30 07:00:00-04:00,3.65,4.04,10.83
2024-04-25 07:00:00-04:00,3.66,4.01,9.66
2024-02-08 07:00:00-05:00,3.14,3.13,-0.43
2023-11-02 07:00:00-04:00,3.04,3.21,5.42
2023-07-27 07:00:00-04:00,3.13,3.12,-0.33
2023-04-27 07:00:00-04:00,2.92,3.15,8.06
2023-02-09 07:00:00-05:00,2.48,2.54,2.61
2022-10-27 07:00:00-04:00,2.8,2.93,4.76
2022-08-02 07:00:00-04:00,2.93,2.81,-4.19
2022-05-04 06:00:00-04:00,2.97,2.89,-2.59
2022-02-08 07:00:00-05:00,3.12,3.15,1.01
2021-10-26 07:00:00-04:00,3.15,3.54,12.29
2021-07-29 07:00:00-04:00,3.27,3.62,10.72
2021-04-29 07:00:00-04:00,3.08,3.39,10.23
2021-02-09 07:00:00-05:00,2.51,2.71,8.02
2020-10-27 07:00:00-04:00,2.55,2.85,11.66
2020-07-28 07:00:00-04:00,2.64,3.4,28.6
