timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 08:00:00-04:00,1.42,,
2026-04-24 07:00:00-04:00,1.56,1.59,2.22
2026-01-22 07:00:00-05:00,1.86,1.88,1.25
2025-10-24 07:00:00-04:00,1.9,1.99,4.92
2025-07-29 07:00:00-04:00,1.42,1.48,4.14
2025-04-24 07:00:00-04:00,1.53,1.54,0.93
2025-01-22 07:00:00-05:00,1.86,1.88,1.1
2024-10-18 06:00:00-04:00,1.9,1.93,1.75
2024-07-30 07:00:00-04:00,1.37,1.4,1.92
2024-04-19 06:00:00-04:00,1.41,1.52,7.48
2024-01-23 06:00:00-05:00,1.7,1.84,8.28
2023-10-18 06:00:00-04:00,1.72,1.83,6.34
2023-07-28 06:00:00-04:00,1.32,1.37,3.48
2023-04-21 06:00:00-04:00,1.32,1.37,3.46
2023-01-19 07:00:00-05:00,1.59,1.59,-0.01
2022-10-19 07:00:00-04:00,1.55,1.57,1.41
2022-07-29 06:00:00-04:00,1.23,1.21,-1.43
2022-04-20 06:00:00-04:00,1.29,1.33,2.88
2022-01-19 06:00:00-05:00,1.65,1.66,0.41
2021-10-19 07:00:00-04:00,1.59,1.61,1.2
2021-07-30 06:00:00-04:00,1.09,1.13,4.13
2021-04-20 07:00:00-04:00,1.19,1.26,6.1
2021-01-20 07:00:00-05:00,1.51,1.64,8.8
2020-10-20 07:00:00-04:00,1.42,1.63,14.89
2020-07-30 07:00:00-04:00,1.01,1.16,14.38
