timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-06 16:00:00-04:00,1.58,,
2026-05-07 16:00:00-04:00,1.6,1.61,0.35
2026-02-19 16:00:00-05:00,1.75,1.84,5.12
2025-11-06 16:00:00-05:00,1.64,1.86,13.71
2025-08-07 16:00:00-04:00,1.53,1.73,13.18
2025-05-08 16:00:00-04:00,1.57,1.7,8.58
2025-02-20 16:00:00-05:00,1.52,1.66,8.98
2024-11-07 16:00:00-05:00,1.59,1.59,0.01
2024-08-08 16:00:00-04:00,1.53,1.58,3.02
2024-05-09 16:00:00-04:00,1.61,1.64,1.96
2024-02-13 16:00:00-05:00,1.61,1.69,4.75
2023-11-07 16:00:00-05:00,1.5,1.63,8.76
2023-08-08 16:00:00-04:00,1.41,1.49,5.94
2023-05-09 16:00:00-04:00,1.32,1.4,6.01
2023-02-14 16:00:00-05:00,1.26,1.37,8.7
2022-11-08 16:00:00-05:00,1.22,1.26,2.98
2022-08-09 16:00:00-04:00,1.31,1.35,3.22
2022-05-03 16:00:00-04:00,1.42,1.39,-2.23
2022-02-15 16:00:00-05:00,1.42,1.49,4.98
2021-11-02 16:00:00-04:00,1.39,1.45,4.6
2021-08-03 16:00:00-04:00,1.38,1.42,2.54
2021-05-04 16:00:00-04:00,1.3,1.38,5.86
2021-02-09 16:00:00-05:00,1.31,1.33,1.24
2020-10-27 16:00:00-04:00,1.23,1.31,6.6
2020-07-28 16:00:00-04:00,1.21,1.38,13.61
