timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-30 08:00:00-04:00,1.61,,
2026-04-30 07:00:00-04:00,1.42,1.58,11.18
2026-02-05 07:00:00-05:00,1.2,1.26,4.57
2025-10-30 07:00:00-04:00,1.52,1.63,7.55
2025-07-31 07:00:00-04:00,1.1,1.46,32.6
2025-04-24 07:00:00-04:00,1.5,1.8,19.88
2025-02-06 06:00:00-05:00,1.47,1.67,13.8
2024-10-31 06:00:00-04:00,1.5,1.8,19.98
2024-07-26 06:00:00-04:00,1.63,2.07,27.37
2024-04-25 06:00:00-04:00,-4.4,-4.4,-0.05
2024-02-02 06:00:00-05:00,1.58,1.7,7.77
2023-10-26 06:00:00-04:00,1.77,2.0,13.02
2023-07-27 07:00:00-04:00,1.99,1.75,-11.98
2023-04-27 06:00:00-04:00,1.97,2.05,3.87
2023-02-02 06:00:00-05:00,1.73,1.82,5.17
2022-10-25 19:00:00-04:00,1.83,1.99,8.46
2022-07-27 06:00:00-04:00,1.8,1.93,7.27
2022-04-29 06:00:00-04:00,1.9,1.96,3.34
2022-02-04 06:00:00-05:00,1.8,1.83,1.66
2021-10-27 06:00:00-04:00,1.92,2.0,4.26
2021-07-28 06:00:00-04:00,1.9,1.93,1.77
2021-04-29 06:00:00-04:00,1.81,1.74,-3.91
2021-02-04 06:00:00-05:00,1.42,1.46,3.12
2020-11-05 06:00:00-05:00,1.49,1.63,9.32
2020-08-06 06:00:00-04:00,1.48,1.63,10.23
