timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-15 08:00:00-04:00,1.23,,
2026-03-25 08:00:00-04:00,1.24,1.24,0.06
2025-12-18 08:00:00-05:00,1.19,1.21,1.3
2025-09-24 08:00:00-04:00,1.19,1.2,0.74
2025-07-17 08:00:00-04:00,1.07,1.09,1.75
2025-03-26 08:00:00-04:00,1.05,1.13,7.4
2024-12-19 08:00:00-05:00,1.01,1.09,7.53
2024-09-25 08:00:00-04:00,1.0,1.1,10.19
2024-07-18 08:00:00-04:00,0.95,1.0,5.14
2024-03-27 08:00:00-04:00,0.9,0.96,7.12
2023-12-21 08:00:00-05:00,0.87,0.9,3.52
2023-09-26 08:00:00-04:00,0.92,0.93,0.47
2023-07-13 08:00:00-04:00,0.8,0.83,4.22
2023-03-29 08:00:00-04:00,0.76,0.79,2.82
2022-12-21 08:00:00-05:00,0.76,0.78,3.04
2022-09-28 08:00:00-04:00,0.79,0.85,7.93
2022-07-14 09:00:00-04:00,0.67,0.7,4.76
2022-03-23 08:00:00-04:00,0.61,0.74,21.5
2021-12-22 08:00:00-05:00,0.66,0.69,5.17
2021-09-29 08:00:00-04:00,0.69,0.78,12.22
2021-07-15 08:00:00-04:00,0.58,0.62,6.96
2021-03-17 08:00:00-04:00,0.56,0.59,6.47
2020-12-22 08:00:00-05:00,0.55,0.59,8.49
2020-09-23 08:00:00-04:00,0.53,0.7,30.51
2020-07-23 08:00:00-04:00,0.3,0.34,10.75
