timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-22 08:00:00-04:00,0.59,,
2026-04-22 06:00:00-04:00,0.55,0.57,3.42
2026-01-28 06:00:00-05:00,0.47,0.52,11.58
2025-10-22 06:00:00-04:00,0.54,0.54,0.45
2025-07-23 06:00:00-04:00,0.53,0.54,1.92
2025-04-23 06:00:00-04:00,0.51,0.51,-0.9
2025-01-27 06:00:00-05:00,0.51,0.54,6.81
2024-10-23 06:00:00-04:00,0.57,0.6,5.07
2024-07-24 06:00:00-04:00,0.57,0.57,-0.64
2024-04-24 06:00:00-04:00,0.53,0.55,3.66
2024-01-24 06:00:00-05:00,0.56,0.54,-3.16
2023-10-19 06:00:00-04:00,0.62,0.64,3.09
2023-07-26 06:00:00-04:00,0.6,0.63,4.56
2023-04-20 06:00:00-04:00,0.59,0.6,2.1
2023-01-25 06:00:00-05:00,0.57,0.61,6.65
2022-10-20 06:00:00-04:00,0.61,0.68,10.58
2022-07-21 06:00:00-04:00,0.61,0.65,6.91
2022-04-21 06:00:00-04:00,0.75,0.77,1.99
2022-01-26 06:00:00-05:00,0.75,0.78,3.33
2021-10-21 06:00:00-04:00,0.79,0.87,10.28
2021-07-22 06:00:00-04:00,0.8,0.89,11.88
2021-04-22 06:00:00-04:00,0.78,0.86,10.61
2021-01-27 06:00:00-05:00,0.73,0.75,2.62
2020-10-22 06:00:00-04:00,0.76,0.76,-0.11
2020-07-23 07:00:00-04:00,0.79,0.83,4.85
