timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-19 08:00:00-04:00,2.03,,
2026-05-20 06:00:00-04:00,1.46,1.71,17.31
2026-03-03 06:00:00-05:00,2.16,2.44,12.97
2025-11-19 06:00:00-05:00,1.71,1.78,4.09
2025-08-20 06:00:00-04:00,2.03,2.05,0.82
2025-05-21 06:00:00-04:00,1.65,1.3,-21.27
2025-03-04 06:00:00-05:00,2.25,2.41,7.05
2024-11-20 06:00:00-05:00,2.3,1.85,-19.56
2024-08-21 06:00:00-04:00,2.18,2.57,17.72
2024-05-22 06:00:00-04:00,2.06,2.03,-1.24
2024-03-05 06:00:00-05:00,2.41,2.98,23.52
2023-11-15 06:00:00-05:00,1.48,2.1,41.91
2023-08-16 06:00:00-04:00,1.42,1.8,26.85
2023-05-17 06:00:00-04:00,1.79,2.05,14.69
2023-02-28 06:00:00-05:00,1.4,1.89,35.06
2022-11-16 06:00:00-05:00,2.18,1.54,-29.35
2022-08-17 06:00:00-04:00,0.72,0.39,-45.47
2022-05-18 06:00:00-04:00,3.06,2.19,-28.53
2022-03-01 06:00:00-05:00,2.84,3.19,12.26
2021-11-17 06:00:00-05:00,2.81,3.03,7.85
2021-08-18 06:00:00-04:00,3.53,3.64,3.06
2021-05-19 06:00:00-04:00,2.23,3.69,65.19
2021-03-02 06:00:00-05:00,2.54,2.67,5.2
2020-11-18 06:00:00-05:00,1.61,2.79,73.77
2020-08-19 06:00:00-04:00,1.65,3.38,104.36
