timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-04 16:00:00-04:00,1.61,,
2026-05-05 16:00:00-04:00,1.29,1.37,5.82
2026-02-03 16:00:00-05:00,1.32,1.53,15.98
2025-11-04 16:00:00-05:00,1.17,1.2,2.48
2025-08-05 16:00:00-04:00,0.48,0.48,-0.55
2025-05-06 16:00:00-04:00,0.93,0.96,2.83
2025-02-04 16:00:00-05:00,1.09,1.09,0.36
2024-10-29 16:00:00-04:00,0.92,0.92,0.46
2024-07-30 16:00:00-04:00,0.68,0.69,1.26
2024-04-30 16:00:00-04:00,0.61,0.62,2.04
2024-01-30 16:00:00-05:00,0.77,0.77,-0.01
2023-10-31 16:00:00-04:00,0.68,0.7,3.59
2023-08-01 16:00:00-04:00,0.57,0.58,1.05
2023-05-02 16:00:00-04:00,0.56,0.6,6.5
2023-01-31 16:00:00-05:00,0.67,0.69,2.51
2022-11-01 16:00:00-04:00,0.7,0.67,-4.83
2022-08-02 16:00:00-04:00,1.04,1.05,1.37
2022-05-03 16:00:00-04:00,0.92,1.13,22.23
2022-02-01 16:00:00-05:00,0.76,0.92,21.38
2021-10-26 16:00:00-04:00,0.66,0.73,10.04
2021-07-27 16:00:00-04:00,0.54,0.63,16.95
2021-04-27 16:00:00-04:00,0.44,0.52,18.31
2021-01-26 16:00:00-05:00,0.48,0.52,9.46
2020-10-27 06:00:00-04:00,0.36,0.41,15.49
2020-07-28 16:00:00-04:00,0.17,0.18,8.78
