timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-06 08:00:00-04:00,4.89,,
2026-04-30 06:00:00-04:00,1.83,1.93,5.28
2026-02-11 06:00:00-05:00,4.98,4.62,-7.18
2025-11-04 06:00:00-05:00,6.7,6.85,2.21
2025-08-07 07:00:00-04:00,5.26,5.43,3.19
2025-04-30 06:00:00-04:00,1.88,1.9,1.06
2025-02-12 07:00:00-05:00,4.56,4.81,5.51
2024-10-30 07:00:00-04:00,6.3,5.95,-5.53
2024-08-08 06:00:00-04:00,5.33,5.27,-1.11
2024-04-30 06:00:00-04:00,1.86,1.77,-4.47
2024-02-14 06:00:00-05:00,3.95,4.74,19.95
2023-11-01 06:00:00-04:00,6.07,6.98,15.0
2023-07-27 06:00:00-04:00,4.86,5.6,15.29
2023-05-04 06:00:00-04:00,1.02,1.96,92.2
2023-02-15 06:00:00-05:00,3.04,3.04,-0.15
2022-11-02 06:00:00-04:00,4.63,4.69,1.28
2022-07-28 07:00:00-04:00,3.76,3.96,5.38
2022-05-03 06:00:00-04:00,0.61,0.41,-33.22
2022-02-10 06:00:00-05:00,2.93,3.15,7.42
2021-11-02 06:00:00-04:00,4.26,4.25,-0.27
2021-07-29 06:00:00-04:00,3.83,3.81,-0.4
2021-05-04 06:00:00-04:00,0.5,1.04,107.71
2021-02-09 06:00:00-05:00,2.28,2.93,28.72
2020-10-29 06:00:00-04:00,3.77,3.86,2.28
2020-07-28 06:00:00-04:00,2.97,3.49,17.57
